timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
4705265206854,-1.0392914,1.8793793,8.739746,0.0,0.0,0.0,0.0,0.0,0.0,
4705270242254,-1.1896515,1.9681702,8.929367,-0.20135498,0.23478699,-0.21360779,0.0,0.0,0.0,
4705275277655,-1.2612305,1.9304352,9.41069,-0.22703552,0.17553711,-0.19003296,0.0,0.0,0.0,
4705280313055,-1.322586,1.8239899,9.995331,-0.24101257,0.10745239,-0.16567993,0.0,0.0,0.0,
4705285348456,-1.4107513,1.7140198,10.620209,-0.23396301,0.03616333,-0.14207458,19.392395,6.4208984,-50.654602,
4705290383856,-1.3833618,1.6423798,11.2276,-0.20166016,-0.04034424,-0.11618042,19.392395,6.4208984,-50.654602,
4705295419256,-1.209137,1.6149902,11.588974,-0.13928223,-0.10798645,-0.08534241,19.392395,6.4208984,-50.654602,
4705300454657,-1.0046692,1.655365,11.582321,-0.055404663,-0.14978027,-0.053253174,19.392395,6.4208984,-50.654602,
4705305490057,-0.8788452,1.7333832,11.311905,0.043121338,-0.16062927,-0.022201538,19.522095,6.678772,-51.913452,
4705310525458,-0.8295288,1.8530426,10.973923,0.13877869,-0.13711548,0.0026550293,19.522095,6.678772,-51.913452,
4705315560858,-0.7411194,2.0161743,10.58963,0.21006775,-0.09069824,0.01927185,19.522095,6.678772,-51.913452,
4705320596258,-0.6082916,2.1537933,10.2164,0.25735474,-0.027175903,0.03413391,19.522095,6.678772,-51.913452,
4705325631659,-0.56085205,2.2372437,9.819687,0.27685547,0.049331665,0.047088623,19.638062,6.0943604,-49.97711,
4705330667059,-0.6239166,2.330246,9.493698,0.27261353,0.12696838,0.055007935,19.638062,6.0943604,-49.97711,
4705335702460,-0.7113037,2.3342743,9.265778,0.25524902,0.19537354,0.057388306,19.638062,6.0943604,-49.97711,
4705340737860,-0.6900177,2.3409576,8.992447,0.233078,0.24017334,0.05419922,19.638062,6.0943604,-49.97711,
4705345773260,-0.6861725,2.3958282,8.748306,0.21884155,0.25430298,0.051712036,20.518494,5.937195,-50.561523,
4705350808661,-0.6981201,2.4538116,8.4713745,0.210495,0.23852539,0.050323486,20.518494,5.937195,-50.561523,
4705355844061,-0.77160645,2.4292297,8.153641,0.21313477,0.19407654,0.048294067,20.518494,5.937195,-50.561523,
4705360879462,-0.8197174,2.4904633,7.794632,0.21939087,0.127182,0.045166016,20.518494,5.937195,-50.561523,
4705365914862,-0.88557434,2.5144196,7.5152893,0.22692871,0.04449463,0.0438385,20.895386,5.9921265,-51.24359,
4705370950262,-0.9069519,2.5999756,7.3792114,0.22857666,-0.04727173,0.047714233,20.895386,5.9921265,-51.24359,
4705375985663,-0.94389343,2.6549377,7.2689056,0.22013855,-0.13380432,0.054626465,20.895386,5.9921265,-51.24359,
4705381021063,-0.8948517,2.7442322,7.328171,0.19616699,-0.21907043,0.06588745,20.895386,5.9921265,-51.24359,
4705386056463,-0.8430481,2.7594757,7.6235046,0.15708923,-0.28308105,0.08111572,19.360352,6.7581177,-50.24414,
4705391091864,-0.7442932,2.8121033,7.8940125,0.10812378,-0.32965088,0.094192505,19.360352,6.7581177,-50.24414,
4705396127264,-0.67674255,2.8379364,8.168396,0.0592041,-0.3640747,0.1081543,19.360352,6.7581177,-50.24414,
4705401162665,-0.65200806,2.8126068,8.598846,0.018585205,-0.38417053,0.11567688,18.190002,5.0872803,-50.531006,
